1;0;2023
0;1;2023
2;1;2278
1;2;2278
3;2;1826
2;3;1826
4;3;1945
3;4;1945
4;5;1887
5;4;1887
6;2;1889
2;6;1889
6;4;1736
4;6;1736
8;6;3279
6;8;3279
7;1;1551
1;7;1551
9;5;4211
5;9;4211
9;10;1911
10;9;1911
10;11;2602
11;10;2602
11;12;1498
12;11;1498
5;12;2001
12;5;2001
13;14;2112
14;13;2112
15;13;2072
13;15;2072
17;16;1653
16;17;1653
14;17;3105
17;14;3105
18;16;2721
16;18;2721
18;19;413
19;18;413
18;20;639
20;18;639
20;13;3772
13;20;3772
21;20;1380
20;21;1380
22;21;602
21;22;602
22;15;3761
15;22;3761
24;18;2682
18;24;2682
23;16;654
16;23;654
24;23;1947
23;24;1947
25;24;3414
24;25;3414
26;21;3660
21;26;3660
26;24;1573
24;26;1573
27;26;3292
26;27;3292
27;25;1623
25;27;1623
28;25;1550
25;28;1550
27;28;2302
28;27;2302
10;27;2638
27;10;2638
27;29;2660
29;27;2660
11;29;1354
29;11;1354
30;26;2252
26;30;2252
29;28;1652
28;29;1652
